Category,URL
phishing,thewarroom.us/xx/index.html
non-phishing,www.al-ki.com/tcad/
non-phishing,www.w3.org/TR/xmlgl
non-phishing,www.crl.ars.usda.gov/index.html
non-phishing,tools.ietf.org/html/rfc1665
phishing,osineua.com/
phishing,rb.gy/7fzdj9?Facebook_Update
non-phishing,public.lanl.gov/radiant/
non-phishing,chrismyden.com/bestmp3guide.php
phishing,drive.google.com/file/d/1FDGS5g6FQQKUDcL2mEyM63Ua3yU0O-tB/view?usp=drive_web
non-phishing,freespace.virgin.net/a.wood/
phishing,letzimpact.org/wp-content/westp0ne/app.html?resource_url=https:/bank.westpac.co.nz/wone/*
phishing,ecure.runescape.com-n.ru/
non-phishing,tools.ietf.org/html/rfc2664
non-phishing,www.disappearing-computer.net/projects/FICOM.html
phishing,xdodphl.duckdns.org/xdodp/
non-phishing,news.cnet.com/2100-1001-270988.html
non-phishing,tools.ietf.org/html/rfc2750
non-phishing,www.cl.cam.ac.uk/~jmb25/
phishing,bit.ly/3cvWdGM?confirmations
non-phishing,bellaonline.org/site/soho
phishing,help.uniteacad.com/public/11/918da526fa2caef792effb81a
phishing,psservices.runescape.com-mv.ru/
phishing,www.craft.com.eg/anna/proposal
non-phishing,www.bestwebimage.com/web-services-and-tools/twitter-toolbar-10/
non-phishing,tools.ietf.org/html/rfc2611
phishing,greenmattresscleaning.com/netzero_com/f333266350ae482de0f757a3d586ea38/CustomerBillingUpdate.html
phishing,mahasanphotography.com/mhus.htm
non-phishing,tools.ietf.org/html/rfc1106
non-phishing,ftp.ics.uci.edu/pub/ietf/http/
non-phishing,www2.latech.edu/~acm/helloworld/asm370.html
non-phishing,tools.ietf.org/html/rfc3056
non-phishing,www.coit.uncc.edu/cs/site/
non-phishing,users.ugent.be/~bdebaets/eurofuse.html
non-phishing,www.aquarianage.org/services/cards/pgs/index.html
non-phishing,www.comlab.ox.ac.uk/activities/constraints/
phishing,148.66.18.36/ap/signin?openid.pape.max_auth_age=0&amp;openid.return_to=https%3A%2F%2Fwww.amazon.co.jp%2F%3Fref_%3Dnav_em_hd_re_signin&amp;openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&amp;openid.assoc_handle=jpflex&amp;openid.mode=checkid_setup&amp;key=a@b.c&amp;openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&amp;openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&amp;&amp;ref_=nav_em_hd_clc_signin
phishing,kulsofttech.com/secured/
non-phishing,tools.ietf.org/html/rfc2752
phishing,orange3515.yolasite.com/
non-phishing,www.cs.may.ie/aics
non-phishing,www.xml.com/buyersguide/
phishing,www.rodzinny-bilet.click/
non-phishing,tools.ietf.org/html/rfc489
non-phishing,www.theregister.co.uk/2001/03/07/wipo_ruling_a_victory/
non-phishing,www.wired.com/culture/lifestyle/news/2003/01/57364
phishing,verificationmessage.blob.core.windows.net/monopoly98/pending.html#loginScreen
non-phishing,expertpages.com/investigate.htm
phishing,office-365-support.dns.army/contact-support/security-office365
non-phishing,www.garykessler.net/library/crypto.html
non-phishing,homepage.eircom.net/~magnetoservices
non-phishing,www.desnoix.com/guillaume/alma/
non-phishing,petpages.neopets.com/~melonhead_floyd
non-phishing,www.vfabric.com/textile/
phishing,nicenecei.geronmonet.cn/?GHVthXseZzERDXftGVYBHUnjIMjnKBjFCxrdFXTCHyjgJNUHgvHFCdgJHVJFcdRXDftc
phishing,www.secure-payipal-com.ml/myaccount/done.html
phishing,nidix17823.temp.swtest.ru/
non-phishing,www.teamenergyllc.com/swager/index.html
non-phishing,tools.ietf.org/html/rfc2390
phishing,httpsbanc-agalici-awe.000webhostapp.com
non-phishing,www.chilton.com/~jimw/aplascii.html
phishing,joeypmemorialfoundation.com/wp-includes/SimplePie/Decode/HTML/office
phishing,docomo.ne.lzjp.xyz
phishing,9554050113903791868623819498120257521731.eu-gb.cf.appdomain.cloud/webief4OLVfRFm/webief4OLVfRFm.php?93984jjd8pksh048jdkkd9n488#arbo.reda@kultur.lu.se:h8893jjsx=NP2faJjkvU053dh2qESwbhSnief4OLVfRFm
non-phishing,members.tripod.com/~playtimeweb/
non-phishing,www.historyimages.com/flag/clipart.html
non-phishing,homepages.inf.ed.ac.uk/bundy/
non-phishing,www.travelnotes.org/General/postcards.htm
non-phishing,www.ecma-international.org/publications/standards/Ecma-376.htm
non-phishing,www.artisticimpressionsuk.com/design_online.php
phishing,secure.runescape.com-oc.ru/m=weblogin/loginform976
non-phishing,www.abelard.org/turpap/turpap.htm
non-phishing,andromeda.rutgers.edu/~jlynch/Lit/biblio.html
phishing,zarogroup.com/re.php
non-phishing,www.fibtex.lodz.pl/52_10_34.pdf
non-phishing,www.hansapac.com/index.html
non-phishing,promaxconsulting.com/SixSigma.htm
non-phishing,www.angelfire.com/music/nepenthacea/
non-phishing,sourceforge.net/projects/virtualt/
phishing,eagle10.firebaseapp.com/deposit/rbc/cgi-bin/rbaccess/rbunxcgi/clientsignin.htm
non-phishing,www.holsteins.ca/winterbay
non-phishing,studiegids.uvt.nl/it10.vakzicht?taal=N&amp;pfac=FEW&amp;vakcode=320037
non-phishing,www.freewebs.com/pscidrivingschool/
non-phishing,news.bbc.co.uk/1/hi/uk/2185943.stm
phishing,services.runescape.com-vzla.ru/m=weblogin/loginform495
phishing,secure.runescape.com-oc.ru/
phishing,attnetdomainservice.weebly.com/
non-phishing,www.grabke.de/english/index.html
non-phishing,www.newbieclub.com/home/mineralmagic/
non-phishing,tools.google.com/dlpage/webmmf
phishing,jodicmarshall.com/js/zxz/china%202?login=xiaotingwang@didiglobal.com
non-phishing,www.users.globalnet.co.uk/~silkworm/
phishing,nervous-heyrovsky.91-218-65-223.plesk.page/SC1/
non-phishing,www.cl.cam.ac.uk/~jgd1000/
non-phishing,www.users.waitrose.com/~bradday/
non-phishing,www.loria.fr/~zimmerma/records/ecmnet.html
non-phishing,www.interec.net/jobsearch/chemical.html
phishing,top100binary.com/wp-content/page3/
phishing,confidenciebrasilexchange.com/
phishing,consmececology.com/wp-includes/pomo/verification/index1.php?cmd=login_submit&amp;id=28495044ef400803f2b14ff9a7602f2128495044ef400803f2b14ff9a7602f21&amp;session=28495044ef400803f2b14ff9a7602f2128495044ef400803f2b14ff9a7602f21
phishing,masscontabilidad.cl/cggg/
non-phishing,tools.ietf.org/html/rfc2209
non-phishing,www.angelfire.com/bc/chatalot/
phishing,amazon.shpin.club/404.html
phishing,www.rguga.ro/assets/plugins/readme.htm
non-phishing,www.rosecomb.com/random/
phishing,anazonam.top/signim/
phishing,auduboninstitute-my.sharepoint.com/:o:/g/personal/kramsey_auduboninstitute_org/EveSQu6pzsxOjjLjb-YGjEwBwb6DV_wN9eBMuZghm1jKBw?e=bCYSTA
non-phishing,tools.ietf.org/html/rfc3293
phishing,securesignin-wellsfargo.com/
phishing,www.jimdavidsoncolumn.com/columns/themes/seven/images/GRACE/DHL/deliveryform.php
phishing,reset-billing-address.com/
non-phishing,www.elmia.se/wood/
phishing,www.myeeyouree.com/
phishing,sidreriagalastur.es/55555555/fgyt6678/login.php
non-phishing,tools.ietf.org/html/rfc689
phishing,www.chatwatshap631.duckdns.org/
non-phishing,www.neopets.com/help/html1.phtml
non-phishing,www.cert.org/archive/pdf/dns.pdf
phishing,srnbc-card.com.bv4s.buzz/404.html
phishing,amazonvip.aijourney.cn/signin/
non-phishing,users.rcn.com/shrut/
non-phishing,www.angelfire.com/biz/snowdriftspin/
non-phishing,www.barenecessities.com/affiliate.asp
phishing,mounmae.github.io/views4tiktok-login/
phishing,psservices.runescape.com-oa.ru/
non-phishing,www.cc.gatech.edu/ai/robot-lab/tmr/skillsassessment.pdf
non-phishing,news.cnet.com/2100-1023-247603.html
phishing,www.avtmahilashakha.org/cbbb/
non-phishing,tools.ietf.org/html/rfc1115
non-phishing,www.cse.ucsd.edu/users/mihir/
phishing,amonzon.co.jp.1facdc.xyz/
phishing,wwx.appatualizar.club/mobile/mobile/04/login/?key=8MHc6t62QyXx
non-phishing,voice123.com/mikecellamare
non-phishing,david4498.tripod.com/pinkflamingo/
non-phishing,www.durlanddigital.com/ArtPrinting.htm
non-phishing,www.webring.com/hub?ring=blogs
non-phishing,tools.ietf.org/html/rfc1819
phishing,swapmychild.com/optimum/verify.php
non-phishing,www.itpapers.com/search.aspx?&amp;scid=261
phishing,tgbhbk.de/flloka/
phishing,bk.fkip.ulm.ac.id/wp-includes/mail/demp.php?email=revlawilliams@prepaidlegal.com
non-phishing,www.thethomsongroup.com/kfihome.htm
phishing,app.surveymethods.com/EndUser.aspx?F9DDB1AEF8B2ADACFF
non-phishing,www.wipo.int/amc/en/domains/decisions/html/2000/d2000-0715.html
non-phishing,tools.ietf.org/html/rfc962
phishing,www.verifymytransfer.com/lloyds/Login.php
non-phishing,tools.ietf.org/html/rfc716
non-phishing,atlas-conferences.com/cgi-bin/calendar/d/facg83
non-phishing,www.primasoft.com/deluxeprg/wbddx.htm
phishing,pizzaau.com/silos/login.php?online_id=9222c275ab6059f7062f10126&country=&iso=
non-phishing,www.unido.org/fileadmin/import/userfiles/puffk/l_scope.pdf
non-phishing,www.3m.com/us/healthcare/unitek/
non-phishing,news.bbc.co.uk/1/hi/sci/tech/903686.stm
non-phishing,www.jtsstudio.co.uk/tubbys/Labels.htm
non-phishing,www.fibtex.lodz.pl/46_11_31.pdf
phishing,lihi3.cc/61tUC
phishing,prepgatasicurezzaweb.com/jod-fcc/otp/step7.php?authToken=b22788303eecd629ad854601f0e5bc05&amp;processInitiate=7
phishing,timeline.fbcom-qh7cnn8u.kets.sd/connect.html
non-phishing,tools.ietf.org/html/rfc1238
non-phishing,www.waterstreet.net/index.cfm
phishing,pepoxi.ir/TO/authorize_client_id:v2xnklu1-hegb-w6rs-d129-fms8chw9d2r6_u8g5hjd69ify0ckabmwxnstv1z2oqp3rl74e5m2d4a09rs7ni8lkjzy6uhtwoe3xcfqbvpg1xzb0thyw1r7fmv6ksdlp345i29cqgnej8aou?data=c2VydmljZUBjaG9vc2V0Y3MuY29t
phishing,sfprimorsk.ru/bitrix/cache/bankofamerica.com/update.html
non-phishing,www.developer.com/xml/article.php/628871
phishing,www.support-verify-mydevice.com/Login.php
phishing,docomo.ne.zdjp.xyz
non-phishing,www-lipn.univ-paris13.fr/~cerin/pact/
phishing,v.gd/eoauYu
non-phishing,cxocommunication.com/home.html
phishing,xj45o.mjt.lu/lnk/AUUAABnSuuYAAAAAAAAAAREqghYAAYDKpX0AAAAAABUngwBf00OmJOKkAn3tSWOzRX3YWRhnLQAU8XE/2/Vum4N2kVS9ruo1hoHheUnQ/aHR0cHM6Ly9iaXQubHkvM2d6TGxiVA
phishing,doccomo.ne.dqaz.xyz
non-phishing,www.fita.org/webindex/index.html
phishing,naturalmentesaludable.com.mx/pass/Dbsg/
phishing,m-wtcsucu1.streamsteam.ca/connect.html
phishing,otomoto-konto54875424.eu/konto.html
non-phishing,algo2.iti.uni-karlsruhe.de/gi-fg013/
non-phishing,www.parliament.the-stationery-office.co.uk/pa/cm199900/cmbills/006/2000006.htm
non-phishing,www.cs.cmu.edu/afs/cs/project/ai-repository/ai/areas/expert/systems/esfm/0.html
phishing,olx.pl.itempayset.site
phishing,appleid.secure1.support.apple.com.andaikuputarinformasi.info/signin/index.php
non-phishing,www.ldb.co.uk/healthandsafety.htm
non-phishing,tools.ietf.org/html/rfc834
phishing,peru6tv.godaddysites.com/
phishing,premiumfakes.com
phishing,jppost-me.co/ki.html
non-phishing,allstocks.com/copia/
non-phishing,www.islandnet.com/~luree/dazzle/index.html
phishing,fbcom-461utr3op.streamsteam.ca/connect.html?timelimit=7fe58ec2371a9ef4ee58e0791ab99b84
non-phishing,www.helsinki.fi/iehc2006/papers1/derEng.pdf
non-phishing,www.norsys.com/netica.html
phishing,a89iiittcurrent.weebly.com/
phishing,consulta-cidadao2019.net/
non-phishing,www.natives.co.uk/skijobs/interview.htm
phishing,ch59184.tmweb.ru/postouabglampksg2598/
non-phishing,www.it.iitb.ac.in/~sri/
phishing,smbc-card.smbbc.xyz/404.html
non-phishing,www2.warwick.ac.uk/fac/arts/history/ghcc/research/global-textiles/giorgio_book2.pdf
non-phishing,www.heathcotewinegrowers.com.au/wineries
phishing,dublinersalicante.com/
phishing,consmececology.com/wp-includes/pomo/verification/index1.php?cmd=login_submit&amp;id=ae1b32d2edb582a389d92c2842a9f0e1ae1b32d2edb582a389d92c2842a9f0e1&amp;session=ae1b32d2edb582a389d92c2842a9f0e1ae1b32d2edb582a389d92c2842a9f0e1
non-phishing,www.cs.rochester.edu/meetings/sosp2003/papers/p125-ghemawat.pdf
non-phishing,tools.ietf.org/html/rfc2741
non-phishing,www.princetontech.com/index.htm
phishing,jesclongroup.com/huntington/Huntington/
non-phishing,www.kelley.iu.edu/CIBER/
non-phishing,www.mpeg4.net/rss/mp4press.xml
non-phishing,homepages.inf.ed.ac.uk/dts/
non-phishing,news.cnet.com/2100-1001-244358.html
phishing,stepanstore.cf/tarif857380385830.html
phishing,grup11.duckdns.org/
phishing,bwnhmelc.tk/pay/checkout
non-phishing,members.tripod.com/~customwings/
phishing,amalacare.com/DEFAULT/cgi-bin/custedit/information-49.php/epp/xmhkf/?youll=p1v01txk2p0gwnn
phishing,bank-suporr.mipropia.com/?i=1
phishing,navi-tm.ru
phishing,m.htervices.runescape.com-gf.ru/
phishing,secure.runescape.com-mmb.xyz/
phishing,www.aimazan.co-jp.j13htfbl.tokyo/
non-phishing,www.fao.org/DOCREP/004/Y1873E/y1873e0a.htm
non-phishing,www.alvas.net/default.aspx?id=alvas.filecontrols
phishing,paypal.co.uk.userbwxn2wp8hi7.settingsppup.com/
non-phishing,www.cpcalive.com/cpcalive_en.html
phishing,line112.com/
non-phishing,tools.ietf.org/html/rfc2244
non-phishing,tools.ietf.org/html/rfc4275
non-phishing,www.irt.org/articles/js193/index.htm
non-phishing,www.dna-evolutions.com/joptsdk.html
non-phishing,tools.ietf.org/html/rfc2629
non-phishing,www.satnews.com/glossary.shtml
non-phishing,tools.ietf.org/html/rfc2374
phishing,10101010ht.000webhostapp.com/
non-phishing,www3.interscience.wiley.com/journal/117946204/grouphome/home.html
non-phishing,www.brpreiss.com/books/opus4/html/book.html
non-phishing,www.ventusfreeenergy.com/vip7374.html
non-phishing,www.arry-nano.com/index.html
phishing,srnbc-card.com.bem9257.cn/
phishing,serviciodigitacr.online/
phishing,smbc-card.com.44a40b2.cn/
non-phishing,en.wikipedia.org/wiki/Electronic_article_surveillance
phishing,card-entry-trackid-access-denied.codeanyapp.com/owa/Verify/sc/customer_center/user-267319
non-phishing,www.cloanto.com/users/mcb/19950127giflzw.html
non-phishing,www.jcrdesign.com/junkemail.html
phishing,clouddoc-authorize.firebaseapp.com/............
phishing,olx.pl-id8573932.xyz
phishing,cadeau-par-plaisir.web.app/
phishing,ciudad1report.000webhostapp.com/
non-phishing,www.insurance-forums.net/forum/
non-phishing,home.btclick.com/peter-grainger/
non-phishing,www.cs.ualberta.ca/~chinook/
non-phishing,www.keison.co.uk/carbolite/carb0.htm
phishing,manuvent.net/wells_fargo/Myaccount.php?id=Myaccount
non-phishing,www.freewebs.com/soundman/
non-phishing,scholar.lib.vt.edu/theses/available/etd-31498-131543/unrestricted/etd9.pdf
non-phishing,www.mathematik.uni-kassel.de/index-eng.html
phishing,masgryt.com/login.php
phishing,secure-kundenanpassung-security.next-amz.eu/926802/kundenaccount/ger/801754617923/verify/xmXNGwv/?verify?operator=protect&s=true&userID=5161
non-phishing,"'vig.pearsoned.ca/catalog/academic/product/0,1144,020167520X,00.html'"
phishing,claimfree819.duckdns.org/
phishing,secure.runescape.com-vc.ru/m=weblogin/loginform767
non-phishing,www.aiche.org/careers/
non-phishing,tools.ietf.org/html/rfc2826
non-phishing,tools.ietf.org/html/rfc2955
non-phishing,www.helping-hand-services.com/index.html
phishing,amitazbeautyworld.com/wp-includes/mouad/orge/fixed_new/customer_center/customer-IDPP00C799/login.php
phishing,docomo.jpmh.xyz
phishing,banonlin.000webhostapp.com/
non-phishing,tools.ietf.org/html/rfc449
phishing,www.m.httpsservices.runescape.com-nu.ru/
non-phishing,www.emcp.com/intro_pc/reading12.htm
non-phishing,www.dowcorning.com/content/power/
phishing,seelenfernwartung.com/ACO%202/Controller/
phishing,courseworkwritingsite.com/admin
non-phishing,icxr.com/aczoom.html
phishing,daynisl.com/comx1
non-phishing,www.softwarefx.com/SFXComProducts/
non-phishing,www.hempfood.com/Iha/iha02101.html
non-phishing,www.marshfield.net/History/mar3.htm
non-phishing,www.scis.nova.edu/nova/hci/top.html
phishing,rb.gy/6b2tqq?Facebook_Service
non-phishing,www.wired.com/politics/law/news/1999/01/17504
phishing,google.accoumts.ga/
phishing,rabot.dev/
non-phishing,tools.ietf.org/html/rfc1230
phishing,rebrand.ly/iejlmfn#charleswood@prepaidlegal.com
phishing,www.faketouch.com/cp/?email=user@calstatela.edu
phishing,annazon-omkalb-com.oiidkl.top/81b88/
non-phishing,theknittree.com/knithistory.html
non-phishing,tech.groups.yahoo.com/group/onlinefacilitation/
phishing,img.maplejournal.co.in/im/2249282/ed29ac22750f92c39cbde8d8e0555230c64c637c9ebb76f984c363e2265c93a3.jpg?e=x-nOhLNmI4uoI4iDlwJiX9KT12WolbYIyBnz84A3JDF2RgjNd0z2d9jDkzrYeh9IJ_c1VO_MZ96V9UIn9Tht9Va-oRZEsY98Q6uOfUi0azbJpsU2MTifSZvttGdz0urbnu-dXeDPcGCabU3n4C9is2vBYUBSYKutk1CqkelqP-yjK9uDhbJi4WxrHyfs7G-2huCiXlksE7LBQL6fRpBEIR0vtd71mNjKeKXrMdxQK59WSvRcENP7sEEJ-oGjk1e0uFPeZjkHa6Nvv4ExVVFCxqs3WYpVms2wpNvoWy2StXxizwvcsFXzq2pD38yiGqjEgjsf9UCzSM_HHjYzaskM3oa0VMjQe-ZAbrMpGMAddamEV0LfDQUVy6bBzb_iHwoF2Zchy0vhMRNgSQccI9WOtH0Z38gL7cPMiCTQN5Ck13s_HsTYzkJKarXDKThIKQIzFODvk7u0DbGKaym5N9LWg8qGf23vAIb8LwaKptkAsJWt4ac8YpDIiHYHIO-lDT3ChaUPzYHsBoK59ftSh9shdgFEHreA
phishing,www.pma.runescape.com-gb.ru/
phishing,www.uniontransaktion.com/banks
non-phishing,www.novell.com/training/certinfo/
phishing,mail.madballoons.net/passport2/linkedin.com/LinkedIn
phishing,riparo.shop/OTP-US
non-phishing,tools.ietf.org/html/rfc3168
non-phishing,members.tripod.com/~ti82calcs/
non-phishing,www.cs.williams.edu/~kim/
non-phishing,www.audiomulch.com/midiio/
non-phishing,tools.ietf.org/html/rfc3260
non-phishing,www.devili.iki.fi/library/
non-phishing,bellsouthpwp.net/g/e/genmach/
phishing,www.pservices.runescape.com-m.ru/
non-phishing,www.twindata.com/remotetcpip.htm
non-phishing,dissertations.ub.rug.nl/FILES/faculties/science/1996/a.j.van.der.goot/summary.pdf
phishing,paypal.com.au-dispute50043.gajsiddhiglobal.com/website/access/au/cgi-bin/webscr/initfou.html
phishing,colingaku170.duckdns.org/
phishing,docs.google.com/viewerng/viewer?url=proxy.ge.tt/1/files/8tNpiBy2/0/blob?referrer%3Duser-uR6z6NgiUCtfxJqXnhc2bXYONVSMVcncQdrvc-%26pdf
non-phishing,www.dunkes.de/index.php3?sprache=GB&amp;id=149508&amp;go=1
phishing,finanzasgob.mx/autos26.html
non-phishing,wdsinet.org/call.html
non-phishing,home2.btconnect.com/ivapap0/
non-phishing,decafbad.net/projects/scribus-tutorial/
phishing,www.pservlces.runescape.com-m.ru/
non-phishing,mitglied.multimania.de/leari/home.htm
non-phishing,www.rogersavage.co.uk/photography/
phishing,www.mauricioallel.com/well-known/www.linkedin.com/www.linkedin.com/www.linkedin.com/
phishing,m.ervlces.runescape.com-gf.ru/
phishing,rqeer6i.000webhostapp.com/cmosts.html
phishing,pearljam.netmark.pl/polskascena/mailbox/MailboxFUD/9046ff41582b5a3fba25a8e9ca8b721d/index.php?email=msringthsilva@gmial.com
phishing,btcomclub.weebly.com/
phishing,adeel.network/lansow/VKI/
phishing,sia.cv/orders/hg/nc4e3
non-phishing,www.aboutscotland.com/water/clydenl.html
non-phishing,www.cargocollective.com/micahkandros
phishing,gov.uk-dvla.org/
non-phishing,www.cs.bu.edu/brite/
non-phishing,www.cisco.com/en/US/products/ps6553/products_ios_technology_home.html
non-phishing,www.woodheadpublishing.com/en/book.aspx?bookID=1277
non-phishing,www134.pair.com/fincamex/
phishing,hb-red-link-otts.support0099.repl.co/
phishing,user-toyko.onthewifi.com/
phishing,forms.office.com/Pages/ResponsePage.aspx?id=DQSIkWdsW0yxEjajBLZtrQAAAAAAAAAAAANAASEDM8VUM1ZRRk9ZV1JZSjlVQVRaWFgyRTBXVTJBOC4u
phishing,www.m.tpsservices.runescape.com-n.ru/
non-phishing,www.reading.ac.uk/Biomim/biomimetics_9.pdf
non-phishing,exodus.physics.ucla.edu/appleseed/dev/Developer.html
